Id,in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count
67,0,2,0.0,7799.290000000001,0,6
368454,28,0,197063.93,0.0,63,0
68,0,1,0.0,201.84,0,1
349055,506,61,599959.67,588283.6599999999,1280,1735
69,0,1,0.0,270.0,0,1
361171,168,6,102271.54000000001,80885.0,174,11
70,0,1,0.0,589.0,0,3
372924,16,9,19522.86,17012.74,39,20
71,0,1,0.0,821.23,0,1
356830,104,12,40120.89,28108.44,106,39
72,0,1,0.0,540.0,0,1
355799,24,4,15659.36,1253.56,24,5
73,0,1,0.0,1534.93,0,2
74,0,1,0.0,237.0,0,2
357183,12,1,7932.84,2606.34,22,1
75,0,1,0.0,1153.66,0,5
76,0,1,0.0,1050.0,0,2
352461,43,3,39601.39,15817.21,97,7
77,0,1,0.0,96.0,0,3
352388,885,211,3146164.4400000004,4045006.6000000034,3307,5133
78,0,1,0.0,220.0,0,3
363582,57,35,430260.19,415525.11,140,115
79,0,1,0.0,687.64,0,1
80,0,1,0.0,6865.0,0,2
349798,873,415,4687403.299999998,4725971.11,3200,1597
81,0,1,0.0,200.0,0,1
377799,310,575,21308076.91,3214417.9100000043,1304,944
82,0,1,0.0,200.0,0,1
376633,26,7,21030.0,8452.57,34,13
83,0,1,0.0,400.0,0,1
352153,818,450,2524911.5300000003,2334444.4799999995,2478,6583
84,0,1,0.0,310.0,0,3
347038,7,0,1630.0,0.0,10,0
85,0,1,0.0,1792.0,0,3
86,0,1,0.0,250.0,0,1
345462,34,12,53049.06,8794.39,46,26
87,0,1,0.0,1749.3000000000002,0,2
356220,35,52,256968.84999999995,200788.02000000002,54,96
88,0,1,0.0,662.33,0,2
349921,209,112,1173953.0000000002,773410.8799999998,625,749
89,0,1,0.0,12.0,0,1
356457,3,2,72593.08,3290.0,3,6
90,0,1,0.0,2975.0,0,1
348657,1130,453,23440602.710000027,21029337.3,3972,4355
91,0,1,0.0,14500.0,0,11
365599,13,9,216216.0,202114.81,39,57
92,0,3,0.0,10876.03,0,17
366696,106,85,2899766.5700000003,5000847.090000002,588,360
348835,1061,139,3234450.02,2956667.9199999995,3012,862
93,0,3,0.0,1344.0,0,12
352472,99,40,152868.76,126196.27,227,219
94,0,2,0.0,8395.390000000001,0,7
366444,29,9,80778.69,33275.8,54,26
366407,20,20,165309.59000000003,117452.97,40,46
95,0,1,0.0,2620.0,0,4
361467,34,118,382013.29999999993,921659.33,419,153
96,0,1,0.0,1965.49,0,1
351977,221,94,2177761.21,1110761.9200000002,345,241
97,0,1,0.0,400.0,0,2
350024,578,242,2072314.4700000002,2214658.87,1872,1744
98,0,1,0.0,171.14,0,1
368547,136,25,99732.4,100993.89,306,152
99,0,1,0.0,178.5,0,1
367428,23,36,73695.54,61528.689999999995,29,61
100,0,1,0.0,551.98,0,2
101,0,1,0.0,855.0,0,1
372820,1305,270,7368489.670000005,6713263.52,3615,3894
102,0,6,0.0,4776.76,0,10
345749,3,10,9658.05,27939.0,4,16
367622,443,63,1474043.9300000004,1063069.8,1279,178
103,0,1,0.0,155.0,0,2
104,0,1,0.0,1451.3000000000002,0,3
358754,31,9,77125.44,76402.28000000001,68,18
105,0,1,0.0,1638.63,0,1
350026,157,16,864392.5100000001,855552.33,192,36
106,0,1,0.0,70.0,0,2
374657,2811,3119,11267137.370000003,11129150.779999997,7483,7225
107,0,1,0.0,410.0,0,1
356742,62,44,457295.77,488824.87999999995,168,90
108,0,1,0.0,4523.0,0,6
353874,2,0,5008.0,0.0,8,0
109,0,1,0.0,61.0,0,1
110,0,1,0.0,199.92,0,1
367305,15,12,198293.32,103918.16000000002,31,34
111,0,1,0.0,810.0,0,1
112,0,1,0.0,1438.0,0,1
360563,3,7,156193.17,116785.5,3,11
113,0,1,0.0,350.0,0,1
367120,6,16,57840.0,20735.59,21,38
114,0,1,0.0,210.0,0,2
378719,5,0,11721.0,0.0,16,0
115,0,1,0.0,11150.0,0,1
384449,130,35,1345989.0,1243913.1300000001,132,132
116,0,1,0.0,1278.44,0,2
349706,296,20,1795138.2799999998,1866213.4800000002,925,57
117,0,1,0.0,1199.22,0,1
349230,367,117,1332868.0599999998,1079635.9400000002,1044,1365
118,0,1,0.0,25.21,0,1
119,0,1,0.0,62.0,0,3
349076,173,61,246562.3,256578.60000000003,442,236
120,0,1,0.0,420.67,0,1
374224,670,60,1334359.5999999999,1220897.11,1576,947
121,0,1,0.0,424.0,0,3
349138,692,210,2024923.9399999992,2066749.2200000014,1985,1880
122,0,2,0.0,41554.0,0,9
378468,67,8,34672.5,24532.99,102,8
123,0,1,0.0,4148.0,0,1
124,0,1,0.0,2722.0,0,1
353817,516,177,12632020.930000002,9855338.889999999,1171,418
125,0,1,0.0,50618.0,0,1
374571,4,10,56044.0,17832.57,6,17
126,0,1,0.0,976.5,0,1
349721,1149,206,2268683.11,2166957.440000001,3325,1446
127,0,2,0.0,1307.0,0,4
350949,340,55,543101.1200000001,556162.23,971,905
349353,547,109,1335545.429999999,1303090.4,1624,1936
128,0,1,0.0,510.55,0,1
379593,284,12,199661.83999999985,200592.44,443,23
129,0,1,0.0,500.0,0,1
377592,3,3,52431.00000000001,840.0,7,4
130,0,1,0.0,250.0,0,1
376823,3,2,5650.0,106.63,5,2
131,0,1,0.0,38020.0,0,2
373473,1,3,38020.0,6842.0,2,4
132,0,1,0.0,179.0,0,2
349174,1029,254,1920677.7900000007,2017078.57,3175,4442
133,0,1,0.0,1800.0,0,3
348943,700,174,3140424.8999999994,3463475.730000001,1985,2945
134,0,1,0.0,144948.0,0,1
363115,1,19,144948.0,4057022.46,1,43
135,0,4,0.0,3723.02,0,12
352637,406,73,3673707.6100000013,3636006.4899999993,961,844
345170,202,131,8161623.14,20617006.24,792,509
347556,12,0,11394.99,0.0,16,0
136,0,1,0.0,2662.5,0,2
348892,788,172,2032990.9999999993,2254493.9799999995,2220,3609
137,0,2,0.0,2641.6400000000003,0,2
356517,415,84,1801588.4799999986,851683.4199999998,1086,1111
138,0,1,0.0,600.0,0,3
139,0,1,0.0,1064.64,0,3
367504,28,10,22635.17,27874.99,68,24
140,0,1,0.0,4500.0,0,2
347598,1,0,4500.0,0.0,2,0
141,0,2,0.0,15790.3,0,2
349518,43,59,754270.2899999998,1277464.1099999999,103,141
365786,11,17,184814.13,329574.8900000001,25,34
142,0,1,0.0,307.0,0,2
347317,140,3,35870.9,92910.37,296,5
143,0,1,0.0,127.0,0,1
371905,122,58,519506.9099999999,520402.28,252,347
144,0,1,0.0,500.0,0,1
372649,24,5,7189.6900000000005,7280.04,47,25
145,0,1,0.0,150.0,0,1
146,0,1,0.0,500.0,0,1
147,0,1,0.0,607.0,0,1
349358,905,122,3141970.7999999993,3519919.7399999998,2501,1412
148,0,1,0.0,121362.5,0,1
347464,167,113,1030997.6199999999,1261112.24,505,490
149,0,1,0.0,200.0,0,1
348654,47,3,25119.0,6974.0,82,12
150,0,1,0.0,440.07,0,1
151,0,1,0.0,60.0,0,1
359265,36,34,302536.56000000006,301937.37,44,57
152,0,1,0.0,14.52,0,1
371859,2,0,1081.45,0.0,3,0
153,0,1,0.0,14527.5,0,3
368436,34,76,2319883.92,2532828.1000000006,59,166
154,0,1,0.0,1346.0,0,1
155,0,1,0.0,11300.0,0,1
372761,5,15,103220.2,148457.4,24,46
156,0,1,0.0,47678.7,0,1
356010,293,316,33412952.020000007,32037827.600000028,886,979
157,0,1,0.0,801.23,0,1
349160,197,122,4031000.9699999993,3687666.0,420,363
158,0,1,0.0,250.0,0,1
374248,123,10,50592.42,42472.0,161,41
159,0,1,0.0,434.02,0,1
347436,985,397,5654268.8,5681355.0699999975,2806,3485
160,0,1,0.0,500.0,0,1
381651,4,1,4900.0,500.0,4,1
161,0,1,0.0,1650.99,0,3
347466,139,62,363065.23,345356.91,792,770
162,0,1,0.0,581.55,0,3
371482,19,7,13266.5,17759.0,41,13
163,0,1,0.0,898.0,0,2
349169,1226,203,14372797.260000004,14576018.720000008,3841,4065
164,0,1,0.0,4763.26,0,1
372819,2,2,5979.26,3758.0,2,4
165,0,1,0.0,459.16,0,1
349274,599,112,1347804.7499999998,1634618.14,1658,998
166,0,1,0.0,1000.0,0,2
349279,475,106,1310356.5999999999,1401097.7800000003,1699,1723
167,0,1,0.0,1026.39,0,3
372335,421,35,782963.1699999999,1030665.51,731,372
168,0,2,0.0,2578.45,0,6
365998,134,10,77107.87000000002,69742.36,174,20
375028,13,10,103087.65999999999,25042.08,52,18
169,0,1,0.0,17.5,0,1
349970,584,141,897791.7799999997,1142428.84,1858,2128
170,0,1,0.0,1895.75,0,2
359204,562,88,3286271.3800000013,6842463.6099999985,1229,248
171,0,1,0.0,12.5,0,1
352840,287,86,436595.73999999993,721606.42,801,922
172,0,1,0.0,6300.0,0,1
369400,2,0,13700.0,0.0,2,0
173,0,1,0.0,101.0,0,1
371599,548,170,1568525.2899999996,1971910.459999999,1460,1682
174,0,1,0.0,150.0,0,1
371051,379,5,79879.48999999999,9892.81,393,14
175,0,1,0.0,2016.03,0,1
176,0,1,0.0,714.0,0,1
349690,246,92,885465.12,975910.4100000003,788,365
177,0,1,0.0,96810.0,0,2
375979,2,5,634172.3999999999,38091.46,61,11
178,0,1,0.0,573.0,0,1
179,0,1,0.0,670.0,0,2
180,0,2,0.0,8220.92,0,4
345129,82,31,5352973.54,5748400.249999998,143,77
345193,58,39,2159124.34,1944287.38,112,89
181,0,1,0.0,575.53,0,6
354337,46,10,14083.949999999999,15988.669999999998,106,37
182,0,1,0.0,251.97,0,2
345105,1225,60,747659.6200000003,804193.4099999998,1733,147
183,0,1,0.0,1269.0,0,2
349221,871,127,2076349.6400000004,2993464.229999999,2851,3756
184,0,2,0.0,1790.53,0,6
377006,57,44,165026.90999999997,160941.38999999998,132,132
185,0,1,0.0,2400.0,0,3
349059,1,0,2400.0,0.0,3,0
186,0,1,0.0,981.0,0,4
377729,43,12,19169.699999999997,38903.99,86,31
187,0,1,0.0,627.0,0,1
188,0,1,0.0,300.0,0,2
375409,2,1,4787.0,850.0,8,2
189,0,1,0.0,150.0,0,1
377073,449,12,177725.43000000005,153727.32,583,32
190,0,1,0.0,11740.0,0,1
379530,5,14,452720.89,407665.54,7,19
191,0,2,0.0,25584.38,0,4
348529,62,160,2341052.1099999994,10312739.199999994,180,486
349738,105,128,7926167.709999998,29259608.869999994,543,644
192,0,1,0.0,289.83000000000004,0,2
193,0,1,0.0,484.17,0,1
194,0,1,0.0,3270.01,0,3
344478,341,290,29275726.279999994,30956658.069999993,1302,1157
195,0,1,0.0,6000.0,0,1
371469,46,23,3805922.4099999997,7276502.270000001,68,33
196,0,1,0.0,124.95,0,1
350294,435,11,112383.7000000002,144382.4,588,33
197,0,1,0.0,321.38,0,1
349034,967,192,2875673.969999999,2817037.7299999995,4011,4658
198,0,1,0.0,1261.65,0,2
349618,567,51,1162343.84,1056613.61,1522,155
199,0,1,0.0,79.0,0,1
349364,379,113,1246199.99,2230410.0700000003,997,1026
200,0,1,0.0,565.0,0,3
366509,26,7,24878.530000000002,22370.6,56,20
201,0,1,0.0,9701.28,0,2
350219,7,3,55350.07,18004.21,11,5
202,0,1,0.0,1345.98,0,3
349100,602,109,991711.4099999999,1113015.1800000002,2188,2020
203,0,1,0.0,525.0,0,3
379947,9,0,4840.0,0.0,19,0
204,0,1,0.0,169100.0,0,1
378923,1,0,169100.0,0.0,1,0
205,0,1,0.0,262.0,0,1
371549,360,147,993687.5400000003,1224956.7799999998,968,1052
206,0,2,0.0,7019.99,0,3
369088,54,36,921986.4600000002,2347108.19,128,157
207,0,1,0.0,459.43,0,1
208,0,1,0.0,407.53,0,1
360789,28,8,23269.230000000003,22652.37,74,21
209,0,1,0.0,272878.0,0,2
367122,20,78,5115028.570000001,3754464.4400000004,39,183
210,0,1,0.0,80.0,0,1
351005,531,144,1494026.06,1453061.3999999997,1568,2093
211,0,1,0.0,9943.64,0,1
352168,223,50,2698543.26,2849157.69,525,213
212,0,2,0.0,15032.1,0,3
354753,38,20,19554113.71,18630938.640000004,140,117
213,0,1,0.0,2146.79,0,3
349527,331,61,684164.0099999999,603552.61,1117,1073
214,0,1,0.0,650.0,0,1
215,0,1,0.0,350.0,0,1
216,0,2,0.0,600.0,0,3
217,0,1,0.0,893.52,0,1
218,0,1,0.0,163.0,0,2
374997,33,8,14428.82,12761.47,78,23
219,0,2,0.0,4334.0,0,2
352564,6,23,195094.0,52163.549999999996,15,48
220,0,1,0.0,2100.0,0,1
378895,1,3,2100.0,5861.0,1,7
221,0,1,0.0,800.0,0,2
348367,5,2,9478.19,1907.81,11,7
222,0,2,0.0,2900.0,0,8
349127,471,68,934610.7299999996,1050208.2199999997,1401,977
223,0,5,0.0,5566.0,0,5
347391,186,138,2445289.8100000005,2457378.47,509,765
224,0,1,0.0,440.32,0,2
225,0,1,0.0,1100.0,0,3
348941,599,111,1513453.8199999998,1519314.3199999998,1793,530
226,0,2,0.0,3087.33,0,2
227,0,1,0.0,500.0,0,1
355940,40,7,21095.03,5124.0,40,14
228,0,1,0.0,6526.47,0,1
370793,18,41,419028.82,452617.05,45,106
229,0,1,0.0,1134.47,0,3
230,0,1,0.0,14700.0,0,1
379687,1158,48818,282560428.1199998,274138675.1199974,2148,107774
231,0,1,0.0,1600.0,0,4
232,0,1,0.0,6737.44,0,1
358544,414,82,5606489.509999999,4927413.590000001,957,722
233,0,1,0.0,2612.72,0,2
234,0,1,0.0,408.0,0,4
351041,308,170,978976.7300000001,1282314.5999999994,846,807
235,0,1,0.0,5829.0,0,2
354757,18,24,174046.73,332559.27,36,53
236,0,2,0.0,4023.06,0,3
381348,35,66,543240.42,475966.77,68,119
355648,7,20,136860.0,77717.5,37,48
237,0,1,0.0,25.96,0,1
356087,415,158,1208306.5900000003,1311558.3700000003,1122,1476
238,0,1,0.0,194.0,0,1
365226,48,20,1130239.5000000005,988024.0300000001,140,73
239,0,2,0.0,1378.52,0,2
240,0,1,0.0,16.5,0,1
348920,1185,205,3249719.7899999977,3149862.8700000006,3475,4389
241,0,1,0.0,42.0,0,1
365119,301,78,403689.17,437386.57,803,1107
242,0,1,0.0,766.25,0,1
350354,444,113,1517749.9699999993,1459969.71,1116,350
243,0,1,0.0,6000.0,0,1
244,0,1,0.0,387.0,0,1
245,0,1,0.0,1241.0,0,3
349834,363,103,5926341.299999999,5846011.479999999,1212,1730
246,0,1,0.0,140.0,0,1
382414,27,6,26616.15,3063.0,89,8
247,0,1,0.0,20877.0,0,1
248,0,1,0.0,511639.97,0,2
359473,41,10,16153570.269999998,18129540.380000003,76,41
249,0,1,0.0,50.0,0,1
250,0,1,0.0,12338.72,0,2
383522,2,1,21632.769999999997,2500.0,4,1
251,0,1,0.0,2700.0,0,3
353576,2,4,3547.6800000000003,39508.5,5,9
252,0,2,0.0,99066.67,0,5
350181,26,40,901364.1999999998,987494.7400000002,42,96
253,0,1,0.0,952.0,0,1
352422,72,12,158693.31999999998,82055.28,138,37
254,0,1,0.0,150.0,0,1
374843,53,12,36196.56,15219.81,83,29
255,0,1,0.0,7027.77,0,3
361971,1,0,7027.77,0.0,3,0
256,0,1,0.0,840.71,0,3
257,0,1,0.0,500.0,0,1
353594,25,28,26286.45,69324.57,27,60
258,0,1,0.0,1000.0,0,1
376001,100,80,742493.14,753211.4099999999,390,217
259,0,1,0.0,1000.0,0,1
372103,4,1,3297.0,150.0,5,1
260,0,1,0.0,409.0,0,3
261,0,1,0.0,106.98,0,1
262,0,1,0.0,500.0,0,1
352444,40,53,1063550.52,1526089.6000000003,103,71
263,0,1,0.0,1035.0,0,2
356673,10,9,15764.86,10778.76,16,15
264,0,1,0.0,420.0,0,2
357718,31,6,17757.930000000004,17585.08,67,14
265,0,1,0.0,2250.0,0,4
347504,220,88,479659.72,605822.6199999998,775,861
266,0,1,0.0,3300.0,0,3
267,0,3,0.0,5930.16,0,25
349083,91,24,145664.61,177712.44,277,386
268,0,1,0.0,203.57,0,1
360011,107,58,1151247.0899999999,1081263.63,209,177
269,0,1,0.0,2496.11,0,1
347373,181,76,3350552.6300000004,2466668.9800000004,884,564
270,0,1,0.0,420.0,0,1
359328,1,1,420.0,300.0,1,1
271,0,1,0.0,190.3,0,2
272,0,1,0.0,400.0,0,1
364504,15,10,50655.93,43313.549999999996,25,16
273,0,1,0.0,120.0,0,2
347091,201,12,35167.59,21299.75,241,25
274,0,1,0.0,533.0,0,1
275,0,1,0.0,66365.0,0,1
276,0,1,0.0,1363.31,0,1
357304,564,79,3165428.710000001,3637803.189999999,1183,704
277,0,1,0.0,121.0,0,3
361050,21,29,1898371.6400000004,1748220.9399999997,46,56
278,0,1,0.0,72.22,0,1
349141,199,56,1108388.2400000002,933389.02,668,265
279,0,1,0.0,2106.0,0,3
280,0,1,0.0,356.42,0,4
356955,237,85,434248.18000000005,424085.5800000001,631,314
281,0,1,0.0,1533.4,0,2
282,0,1,0.0,1347.0,0,3
283,0,1,0.0,510.0,0,2
369532,14,12,36339.44,20498.77,33,23
284,0,1,0.0,581.47,0,2
350323,1040,393,5759101.700000005,5313502.249999998,3656,4439
285,0,1,0.0,602.36,0,1
369071,3,0,45919.68,0.0,5,0
286,0,1,0.0,241.79,0,1
369210,1,1,241.79,710.99,1,1
287,0,1,0.0,180.0,0,1
381168,9,1,6827.97,1641.0,15,1
288,0,1,0.0,780.04,0,1
350616,464,123,854669.2700000001,841774.2299999999,1611,465
289,0,1,0.0,1161.5,0,2
344568,10,7,57455.72,18517.11,16,11
290,0,1,0.0,2644.36,0,1
352079,771,234,6730759.919999996,6274239.329999998,1613,526
291,0,1,0.0,1479.0,0,1
366141,157,105,10795647.850000001,10706515.0,323,348
292,0,1,0.0,475.97,0,1
350136,110,58,334785.00000000006,229145.18999999997,230,170
293,0,1,0.0,174.15,0,1
365390,19,9,7883.2300000000005,23457.54,34,23
294,0,1,0.0,109.0,0,1
295,0,1,0.0,258.0,0,2
382488,34,2,4698.0,2126.45,35,4
296,0,1,0.0,11441.24,0,4
297,0,5,0.0,136345.99,0,21
363270,6,3,25697.23,48854.39,8,7
361057,63,24,155309.95,439091.66,69,59
370647,2,0,3333.0,0.0,2,0
369423,54,71,4286118.800000001,5090110.7,148,190
298,0,1,0.0,10865.64,0,19
372197,18,29,95801.28,269644.56,109,108
299,0,1,0.0,1404.26,0,8
300,0,1,0.0,1668.33,0,3
301,0,1,0.0,2142.0,0,1
353799,10,10,78760.09,25387.43,17,18
302,0,1,0.0,248.0,0,2
350292,26,14,158937.0,288220.0,39,39
303,0,1,0.0,1.96,0,1
357159,453,105,1070950.8699999996,1053049.29,1250,974
304,0,1,0.0,544.74,0,1
351206,267,166,1654831.7600000002,1540271.0400000003,612,779
305,0,1,0.0,11375.0,0,1
350851,14,4,110884.90999999999,44387.0,17,12
306,0,1,0.0,148.0,0,2
346135,574,101,752945.7899999997,916727.4899999998,1410,375
307,0,1,0.0,9684.6,0,1
362257,13,14,33991.01,12923.17,16,21
308,0,1,0.0,29745.99,0,3
374043,9,16,160015.11,161569.44,15,34
309,0,1,0.0,9000.0,0,1
373118,1,0,9000.0,0.0,1,0
310,0,1,0.0,16400.0,0,2
348230,2,0,30650.0,0.0,3,0
311,0,1,0.0,48034.76,0,11
355267,54,30,1399428.9900000002,4545226.36,247,56
312,0,1,0.0,819.67,0,3
349188,235,59,596063.71,562790.75,576,127
313,0,2,0.0,27278.0,0,3
356688,2,3,28778.0,8467.5,3,7
314,0,1,0.0,600.0,0,3
346268,628,385,2149838.3199999984,2145290.29,1885,2080
315,0,2,0.0,1591.02,0,4
347133,50,54,459113.45000000007,429709.38000000006,114,169
316,0,1,0.0,670.54,0,1
317,0,1,0.0,512.0,0,4
362519,46,19,1749437.1500000004,1203263.9200000002,92,37
318,0,1,0.0,577.37,0,1
319,0,1,0.0,618.06,0,4
320,0,1,0.0,422.0,0,1
321,0,1,0.0,2275.88,0,1
351106,121,77,3901483.239999999,5541669.260000001,324,351
322,0,1,0.0,1284.62,0,1
351547,234,92,5018899.669999999,2831490.79,492,435
323,0,1,0.0,180.67,0,1
324,0,1,0.0,1346.8200000000002,0,3
381030,3,0,2325.82,0.0,5,0
325,0,1,0.0,1900.0,0,1
364966,25,10,34289.0,22030.010000000002,34,15
326,0,1,0.0,179.0,0,2
352826,4,1,6459.94,80.0,24,1
327,0,1,0.0,10000.0,0,1
358132,10,13,191331.0,175471.03000000003,11,33
328,0,1,0.0,2100.0,0,3
347365,1600,283,19649407.63,18174278.790000007,4985,5604
329,0,1,0.0,9431.0,0,2
352725,48,29,224174.36000000002,208010.97999999998,69,62
330,0,1,0.0,139890.0,0,7
362022,5,25,370957.51,394721.58999999997,52,101
331,0,1,0.0,735.27,0,3
332,0,1,0.0,4960.0,0,1
358921,6,5,29637.5,24501.0,11,18
333,0,1,0.0,1528.17,0,3
334,0,1,0.0,1362.0,0,3
